date,open,high,low,close,volume,adjusted_close,change_percent,avg_vol_20d,prev_day_open,prev_day_high,prev_day_low,prev_day_close,prev_day_volume,prev_day_change_percent,prev_week_open,prev_week_high,prev_week_low,prev_week_close,prev_week_volume,prev_week_change_percent,prev_month_open,prev_month_high,prev_month_low,prev_month_close,prev_month_volume,prev_month_change_percent,prev_week_trend_percentage,prev_month_trend_percentage,next_day_target
2021-08-17,444.24,444.96,440.85,444.04,92673930,426.2041,-0.66,53971377.55,444.53,447.11,442.87,446.97,73930867.0,0.24,442.61,443.44,441.88,442.68,43339281.0,0.12,426.19,431.4089,421.97,424.97,147987016.0,-1.48,0.3072196620583748,4.4873755794526655,439.18
2021-08-18,442.96,444.625,438.92,439.18,89351930,421.5393,-1.09,55202754.5,444.24,444.96,440.85,444.04,92673930.0,-0.66,443.82,443.882,442.62,443.78,44034340.0,0.25,425.68,432.42,424.83,431.06,99608172.0,1.43,-1.0365496417143554,1.8837284832737913,439.86
2021-08-19,436.27,441.14,436.12,439.86,92812250,422.192,0.15,57449440.05,442.96,444.625,438.92,439.18,89351930.0,-1.09,443.62,445.2572,442.66,445.11,38942422.0,0.3,432.34,434.7,431.0111,434.55,64724391.0,0.81,-1.179483723124621,1.2219537452537113,443.36
2021-08-20,440.23,443.71,439.71,443.36,72008711,425.5514,0.8,57861543.55,436.27,441.14,436.12,439.86,92812250.0,0.15,445.59,445.94,445.07,445.92,39470246.0,0.18,434.74,435.72,433.69,435.46,47878539.0,0.21,-0.5740940078937931,1.8141735176594942,447.26
2021-08-23,445.16,448.23,443.4355,447.26,54973039,429.2947,0.88,58424235.95,440.23,443.71,439.71,443.36,72008711.0,0.8,444.53,447.11,442.87,446.97,73930867.0,0.24,437.52,440.3,436.79,439.94,63766641.0,1.03,0.06488131194486511,1.6638632540801002,447.97
2021-08-24,447.97,448.54,447.42,447.97,38744711,429.9762,0.16,56991614.85,445.16,448.23,443.4355,447.26,54973039.0,0.88,444.24,444.96,440.85,444.04,92673930.0,-0.66,439.31,441.03,439.26,441.02,43719191.0,0.25,0.8850554004143786,1.5758922497846006,448.91
2021-08-25,448.17,449.457,447.77,448.91,40529711,430.8785,0.21,56394482.45,447.97,448.54,447.42,447.97,38744711.0,0.16,442.96,444.625,438.92,439.18,89351930.0,-1.09,439.91,439.94,435.99,439.01,67397133.0,-0.46,2.2154925087663413,2.2550739163117095,446.26
2021-08-26,448.61,448.86,446.16,446.26,57829566,428.3349,-0.59,56914193.75,448.17,449.457,447.77,448.91,40529711.0,0.21,436.27,441.14,436.12,439.86,92812250.0,0.15,439.68,440.3,437.31,438.83,52472359.0,-0.04,1.4550084117673754,1.6931385730237238,450.25
2021-08-27,447.12,450.65,447.06,450.25,77235109,432.1646,0.89,57328389.05,448.61,448.86,446.16,446.26,57829566.0,-0.59,440.23,443.71,439.71,443.36,72008711.0,0.8,439.815,441.8,439.81,440.65,47435340.0,0.41,1.5540418621436272,2.1785997957562744,452.23
2021-08-30,450.97,453.07,450.71,452.23,48357359,434.0651,0.44,56807091.95,447.12,450.65,447.06,450.25,77235109.0,0.89,445.16,448.23,443.4355,447.26,54973039.0,0.88,437.91,440.06,437.77,438.51,68951203.0,-0.49,1.111210481599076,3.1287769948233852,451.56
2021-08-31,452.13,452.49,450.92,451.56,59300207,433.422,-0.15,56869407.4,450.97,453.07,450.71,452.23,48357359.0,0.44,447.97,448.54,447.42,447.97,38744711.0,0.16,440.34,440.93,437.21,437.59,58783301.0,-0.21,0.8013929504207814,3.192486117141623,451.8
2021-09-01,452.56,453.11,451.545,451.8,48721379,433.6524,0.05,56968866.0,452.13,452.49,450.92,451.56,59300207.0,-0.15,448.17,449.457,447.77,448.91,40529711.0,0.21,438.44,441.28,436.1,441.15,58053898.0,0.81,0.6437816043304863,2.4141448486909294,453.19
2021-09-02,453.32,454.05,451.91,453.19,42830871,434.9865,0.31,57161926.55,452.56,453.11,451.545,451.8,48721379.0,0.05,448.61,448.86,446.16,446.26,57829566.0,-0.59,439.78,441.1243,438.73,438.98,46732207.0,-0.49,1.552906377448126,3.2370495238963,453.08
2021-09-03,451.98,453.63,451.55,453.08,47234359,434.881,-0.02,57177144.1,453.32,454.05,451.91,453.19,42830871.0,0.31,447.12,450.65,447.06,450.25,77235109.0,0.89,440.22,441.85,439.88,441.76,38969660.0,0.63,0.6285397001665706,2.5624773632741746,451.46
2021-09-07,452.71,452.81,450.7423,451.46,51671527,433.326,-0.36,57699590.75,451.98,453.63,451.55,453.08,47234359.0,-0.02,450.97,453.07,450.71,452.23,48357359.0,0.44,442.1,442.94,441.8,442.49,46930008.0,0.17,-0.1702673418393381,2.0271644556939075,450.91
